== TicTacToe

TOTAL
Think2000  Think900   :  4 wins,  5 losses, 11 draws
Think2000  Think1000  :  6 wins,  4 losses, 10 draws
Think2000  Think3000  :  4 wins,  4 losses, 12 draws
Think3000  Random     : 20 wins,  0 losses,  0 draws
Think3000  Think0     : 17 wins,  0 losses,  3 draws
Think3000  Think100   :  6 wins,  7 losses,  7 draws
Think3000  Think200   :  5 wins,  9 losses,  6 draws
Think3000  Think300   :  7 wins,  8 losses,  5 draws
Think3000  Think400   :  5 wins,  6 losses,  9 draws
Think3000  Think500   :  4 wins,  5 losses, 11 draws
Think3000  Think600   :  6 wins,  5 losses,  9 draws
Think3000  Think700   :  9 wins,  7 losses,  4 draws
Think3000  Think800   :  6 wins,  5 losses,  9 draws
Think3000  Think900   :  6 wins,  3 losses, 11 draws
Think3000  Think1000  :  5 wins,  3 losses, 12 draws
Think3000  Think2000  :  4 wins,  4 losses, 12 draws

1006 first move wins, 206 first move loses, 608 draws


== TicTacToe with better play statistics value function
					int draw = playCount - playStatistic.win - playStatistic.loss;
					double value = (double)(playStatistic.win * 2 + draw) / playCount;


Think2000  Think1500  : White

TOTAL
Random     :  3 wins, 91 losses,  6 draws
Think0     : 24 wins, 65 losses, 11 draws
Think500   : 49 wins, 15 losses, 36 draws
Think1000  : 47 wins, 19 losses, 34 draws
Think1500  : 46 wins, 18 losses, 36 draws
Think2000  : 54 wins, 15 losses, 31 draws

Random     Think0     :  1 wins, 18 losses,  1 draws
Random     Think500   :  0 wins, 20 losses,  0 draws
Random     Think1000  :  2 wins, 17 losses,  1 draws
Random     Think1500  :  0 wins, 18 losses,  2 draws
Random     Think2000  :  0 wins, 18 losses,  2 draws
Think0     Random     : 18 wins,  1 losses,  1 draws
Think0     Think500   :  1 wins, 17 losses,  2 draws
Think0     Think1000  :  1 wins, 17 losses,  2 draws
Think0     Think1500  :  2 wins, 14 losses,  4 draws
Think0     Think2000  :  2 wins, 16 losses,  2 draws
Think500   Random     : 20 wins,  0 losses,  0 draws
Think500   Think0     : 17 wins,  1 losses,  2 draws
Think500   Think1000  :  4 wins,  4 losses, 12 draws
Think500   Think1500  :  5 wins,  3 losses, 12 draws
Think500   Think2000  :  3 wins,  7 losses, 10 draws
Think1000  Random     : 17 wins,  2 losses,  1 draws
Think1000  Think0     : 17 wins,  1 losses,  2 draws
